"country"	"YEAR"	"source"	"AGE"	"unionORchildren"	"unionANDchildren"	"perc_simult"
"Uganda"	"2002"	"3"	"23"	"831"	"259"	"0.3116726835"
"Uganda"	"2002"	"3"	"24"	"600"	"231"	"0.385"
"United States"	"2000"	"3"	"15"	"1516.666993"	"37.67774886"	"0.0248424664"
"United States"	"2000"	"3"	"16"	"2847.2469368"	"240.42706942"	"0.0844419451"
"United States"	"2000"	"3"	"17"	"4449.6770925"	"462.5906882"	"0.1039605074"
"United States"	"2000"	"3"	"18"	"7597.045062"	"819.10325211"	"0.1078186644"
"United States"	"2000"	"3"	"19"	"9320.8145816"	"917.37562762"	"0.0984222591"
"United States"	"2000"	"3"	"20"	"9479.58151"	"1361.8029389"	"0.1436564407"
"United States"	"2000"	"3"	"21"	"9652.1085725"	"1780.5113087"	"0.1844686366"
"United States"	"2000"	"3"	"22"	"9447.657999"	"2039.7522341"	"0.215900304"
"United States"	"2000"	"3"	"23"	"8809.7882215"	"2368.9947142"	"0.2689048425"
"United States"	"2000"	"3"	"24"	"8847.3158598"	"2622.731586"	"0.2964437607"
"Venezuela"	"2001"	"3"	"13"	"94"	"5"	"0.0531914894"
"Venezuela"	"2001"	"3"	"14"	"128"	"12"	"0.09375"
"Venezuela"	"2001"	"3"	"15"	"295"	"46"	"0.1559322034"
"Venezuela"	"2001"	"3"	"16"	"498"	"102"	"0.2048192771"
"Venezuela"	"2001"	"3"	"17"	"775"	"214"	"0.2761290323"
"Venezuela"	"2001"	"3"	"18"	"1050"	"378"	"0.36"
"Venezuela"	"2001"	"3"	"19"	"1232"	"473"	"0.3839285714"
"Venezuela"	"2001"	"3"	"20"	"1502"	"625"	"0.4161118509"
"Venezuela"	"2001"	"3"	"21"	"1813"	"814"	"0.4489795918"
"Venezuela"	"2001"	"3"	"22"	"1880"	"898"	"0.4776595745"
"Venezuela"	"2001"	"3"	"23"	"1926"	"950"	"0.4932502596"
"Venezuela"	"2001"	"3"	"24"	"1917"	"1017"	"0.5305164319"
"South Africa"	"2001"	"3"	"12"	"348.40854027"	"6.9538071492"	"0.0199587735"
"South Africa"	"2001"	"3"	"13"	"433.63345532"	"22.133012798"	"0.0510408331"
"South Africa"	"2001"	"3"	"14"	"587.12152174"	"17.094082414"	"0.029115067"
