"country"	"YEAR"	"AGE"	"SEX"	"SCHOOL"	"prop_union2"	"prop_child2"	"round"	"childless2"
"Burkina Faso"	"1998"	"20"	"Female"	"0"	"0.8648343777"	"0.7544312534"	"2000"	"0.2455687466"
"Burkina Faso"	"1998"	"20"	"Female"	"1"	"0"	"0.1702097631"	"2000"	"0.8297902369"
"Burkina Faso"	"1998"	"21"	"Male"	"0"	"0.1157883863"	"."	"2000"	"."
"Burkina Faso"	"1998"	"21"	"Male"	"1"	"0"	"."	"2000"	"."
"Burkina Faso"	"1998"	"21"	"Female"	"0"	"0.8861558483"	"0.8524235646"	"2000"	"0.1475764354"
"Burkina Faso"	"1998"	"21"	"Female"	"1"	"0.1904348341"	"0.1904348341"	"2000"	"0.8095651659"
"Burkina Faso"	"1998"	"22"	"Male"	"0"	"0.2277295095"	"."	"2000"	"."
"Burkina Faso"	"1998"	"22"	"Male"	"1"	"0"	"."	"2000"	"."
"Burkina Faso"	"1998"	"22"	"Female"	"0"	"0.9222087785"	"0.8983301392"	"2000"	"0.1016698608"
"Burkina Faso"	"1998"	"22"	"Female"	"1"	"0.2297493127"	"0.2918997251"	"2000"	"0.7081002749"
"Burkina Faso"	"1998"	"23"	"Male"	"0"	"0.3370289727"	"."	"2000"	"."
"Burkina Faso"	"1998"	"23"	"Male"	"1"	"0.1173757644"	"."	"2000"	"."
"Burkina Faso"	"1998"	"23"	"Female"	"0"	"0.9455824351"	"0.9333152717"	"2000"	"0.0666847283"
"Burkina Faso"	"1998"	"23"	"Female"	"1"	"0.540053622"	"0"	"2000"	"1"
"Burkina Faso"	"1998"	"24"	"Male"	"0"	"0.3974750239"	"."	"2000"	"."
"Burkina Faso"	"1998"	"24"	"Male"	"1"	"0.2134795952"	"."	"2000"	"."
"Burkina Faso"	"1998"	"24"	"Female"	"0"	"0.9207389731"	"0.9204659636"	"2000"	"0.0795340364"
"Burkina Faso"	"1998"	"24"	"Female"	"1"	"0.1869741479"	"0.3739482959"	"2000"	"0.6260517041"
"Benin"	"2006"	"12"	"Male"	"0"	"0.0038130237"	"."	"2000"	"."
"Benin"	"2006"	"12"	"Male"	"1"	"0.0010600396"	"."	"2000"	"."
"Benin"	"2006"	"12"	"Female"	"0"	"0.0027002747"	"."	"2000"	"."
"Benin"	"2006"	"12"	"Female"	"1"	"0.0010736631"	"."	"2000"	"."
"Benin"	"2006"	"13"	"Male"	"0"	"0.0045219409"	"."	"2000"	"."
"Benin"	"2006"	"13"	"Male"	"1"	"0.0016696093"	"."	"2000"	"."
"Benin"	"2006"	"13"	"Female"	"0"	"0.0124466277"	"."	"2000"	"."
"Benin"	"2006"	"13"	"Female"	"1"	"0.0029631191"	"."	"2000"	"."
"Benin"	"2006"	"14"	"Male"	"0"	"0.0067084661"	"."	"2000"	"."
"Benin"	"2006"	"14"	"Male"	"1"	"0.0040883914"	"."	"2000"	"."
"Benin"	"2006"	"14"	"Female"	"0"	"0.0133346408"	"."	"2000"	"."
"Benin"	"2006"	"14"	"Female"	"1"	"0.0061540475"	"."	"2000"	"."
"Benin"	"2006"	"15"	"Male"	"0"	"0.0038327637"	"."	"2000"	"."
"Benin"	"2006"	"15"	"Male"	"1"	"0"	"."	"2000"	"."
"Benin"	"2006"	"15"	"Female"	"0"	"0.1022926765"	"0.0714202936"	"2000"	"0.9285797064"
"Benin"	"2006"	"15"	"Female"	"1"	"0.0027586563"	"0.0031098814"	"2000"	"0.9968901186"
"Benin"	"2006"	"16"	"Male"	"0"	"0.0122421834"	"."	"2000"	"."
"Benin"	"2006"	"16"	"Male"	"1"	"0.0015160631"	"."	"2000"	"."
"Benin"	"2006"	"16"	"Female"	"0"	"0.141511436"	"0.090320201"	"2000"	"0.909679799"
"Benin"	"2006"	"16"	"Female"	"1"	"0.0073332009"	"0.020237693"	"2000"	"0.979762307"
"Benin"	"2006"	"17"	"Male"	"0"	"0.0406184274"	"."	"2000"	"."
"Benin"	"2006"	"17"	"Male"	"1"	"0"	"."	"2000"	"."
"Benin"	"2006"	"17"	"Female"	"0"	"0.3128620476"	"0.2573141267"	"2000"	"0.7426858733"
"Benin"	"2006"	"17"	"Female"	"1"	"0.0169185402"	"0.0245319179"	"2000"	"0.9754680821"
"Benin"	"2006"	"18"	"Male"	"0"	"0.0518493536"	"."	"2000"	"."
"Benin"	"2006"	"18"	"Male"	"1"	"0.0032880156"	"."	"2000"	"."
"Benin"	"2006"	"18"	"Female"	"0"	"0.4999342659"	"0.3877655922"	"2000"	"0.6122344078"
"Benin"	"2006"	"18"	"Female"	"1"	"0.0222946287"	"0.0285067994"	"2000"	"0.9714932006"
"Benin"	"2006"	"19"	"Male"	"0"	"0.0566814413"	"."	"2000"	"."
"Benin"	"2006"	"19"	"Male"	"1"	"0.0121089239"	"."	"2000"	"."
"Benin"	"2006"	"19"	"Female"	"0"	"0.5821979298"	"0.4936013199"	"2000"	"0.5063986801"
"Benin"	"2006"	"19"	"Female"	"1"	"0.0372765581"	"0.0752352975"	"2000"	"0.9247647025"
"Benin"	"2006"	"20"	"Male"	"0"	"0.1775873959"	"."	"2000"	"."
"Benin"	"2006"	"20"	"Male"	"1"	"0.0067706777"	"."	"2000"	"."
"Benin"	"2006"	"20"	"Female"	"0"	"0.7399758919"	"0.6838951508"	"2000"	"0.3161048492"
"Benin"	"2006"	"20"	"Female"	"1"	"0.0361813124"	"0.0789972703"	"2000"	"0.9210027297"
"Benin"	"2006"	"21"	"Male"	"0"	"0.1814873121"	"."	"2000"	"."
"Benin"	"2006"	"21"	"Male"	"1"	"0.0100367073"	"."	"2000"	"."
"Benin"	"2006"	"21"	"Female"	"0"	"0.63983041"	"0.6376694959"	"2000"	"0.3623305041"
