"country"	"YEAR"	"AGE"	"SEX"	"prop_union"	"prop_childless"	"prop_school"	"round"	"with_child"
"Congo (Brazzaville)"	"2005"	"22"	"Female"	"0.5548990434"	"0.2842752167"	"0.3082422917"	"2000"	"0.7157247833"
"Congo (Brazzaville)"	"2005"	"23"	"Female"	"0.66669675"	"0.2000137778"	"0.1452201261"	"2000"	"0.7999862222"
"Congo (Brazzaville)"	"2005"	"24"	"Female"	"0.6123494507"	"0.1894091595"	"0.1186835029"	"2000"	"0.8105908405"
"Switzerland"	"2000"	"12"	"Male"	"."	"."	"."	"2000"	"."
"Switzerland"	"2000"	"12"	"Female"	"."	"0.9986101459"	"."	"2000"	"0.0013898541"
"Switzerland"	"2000"	"13"	"Male"	"."	"."	"."	"2000"	"."
"Switzerland"	"2000"	"13"	"Female"	"."	"."	"."	"2000"	"."
"Switzerland"	"2000"	"14"	"Male"	"."	"."	"."	"2000"	"."
"Switzerland"	"2000"	"14"	"Female"	"."	"0.9944029851"	"."	"2000"	"0.0055970149"
"Switzerland"	"2000"	"15"	"Male"	"0.0045351474"	"."	"0.8884353741"	"2000"	"."
"Switzerland"	"2000"	"15"	"Female"	"0.0025278059"	"0.9930643127"	"0.8907987867"	"2000"	"0.0069356873"
"Switzerland"	"2000"	"16"	"Male"	"0.0018206645"	"."	"0.892580792"	"2000"	"."
"Switzerland"	"2000"	"16"	"Female"	"0.0028915663"	"0.9958920188"	"0.8877108434"	"2000"	"0.0041079812"
"Switzerland"	"2000"	"17"	"Male"	"0.0018348624"	"."	"0.8802752294"	"2000"	"."
"Switzerland"	"2000"	"17"	"Female"	"0.0039177277"	"0.9929824561"	"0.8707149853"	"2000"	"0.0070175439"
"Switzerland"	"2000"	"18"	"Male"	"0.0062111801"	"."	"0.8283052351"	"2000"	"."
"Switzerland"	"2000"	"18"	"Female"	"0.0196261682"	"0.9902912621"	"0.7990654206"	"2000"	"0.0097087379"
"Switzerland"	"2000"	"19"	"Male"	"0.0172253259"	"."	"0.6666666667"	"2000"	"."
"Switzerland"	"2000"	"19"	"Female"	"0.0614078882"	"0.9824561404"	"0.6290564154"	"2000"	"0.0175438596"
"Switzerland"	"2000"	"20"	"Male"	"0.0282258065"	"."	"0.4538530466"	"2000"	"."
"Switzerland"	"2000"	"20"	"Female"	"0.1199253383"	"0.9592689295"	"0.4624358376"	"2000"	"0.0407310705"
"Switzerland"	"2000"	"21"	"Male"	"0.0647810219"	"."	"0.361770073"	"2000"	"."
"Switzerland"	"2000"	"21"	"Female"	"0.1811460259"	"0.94"	"0.3719963031"	"2000"	"0.06"
"Switzerland"	"2000"	"22"	"Male"	"0.1083135392"	"."	"0.3372921615"	"2000"	"."
"Switzerland"	"2000"	"22"	"Female"	"0.26910299"	"0.901371308"	"0.3151400095"	"2000"	"0.098628692"
"Switzerland"	"2000"	"23"	"Male"	"0.1646478241"	"."	"0.3162853297"	"2000"	"."
"Switzerland"	"2000"	"23"	"Female"	"0.3253502033"	"0.8783783784"	"0.2684139178"	"2000"	"0.1216216216"
"Switzerland"	"2000"	"24"	"Male"	"0.2072829132"	"."	"0.2889822596"	"2000"	"."
"Switzerland"	"2000"	"24"	"Female"	"0.4129724685"	"0.8391679351"	"0.2249183388"	"2000"	"0.1608320649"
"Cote Ivoire"	"1998"	"15"	"Female"	"0.0744512372"	"0.9571712834"	"0.2228218485"	"2000"	"0.0428287166"
"Cote Ivoire"	"1998"	"16"	"Female"	"0.1580598861"	"0.782130781"	"0.1876173799"	"2000"	"0.217869219"
"Cote Ivoire"	"1998"	"17"	"Female"	"0.2534222965"	"0.7420659525"	"0.1555688333"	"2000"	"0.2579340475"
"Cote Ivoire"	"1998"	"18"	"Female"	"0.3272828478"	"0.703625322"	"0.1250084036"	"2000"	"0.296374678"
"Cote Ivoire"	"1998"	"19"	"Female"	"0.4585194773"	"0.5500430548"	"0.1748145003"	"2000"	"0.4499569452"
"Cote Ivoire"	"1998"	"20"	"Female"	"0.528345306"	"0.3981648975"	"0.0995509502"	"2000"	"0.6018351025"
"Cote Ivoire"	"1998"	"21"	"Female"	"0.4938448798"	"0.3521569126"	"0.1119522467"	"2000"	"0.6478430874"
"Cote Ivoire"	"1998"	"22"	"Female"	"0.6154027303"	"0.2317275241"	"0.0578030994"	"2000"	"0.7682724759"
"Cote Ivoire"	"1998"	"23"	"Female"	"0.7199155815"	"0.2103528608"	"0.0703544069"	"2000"	"0.7896471392"
"Cote Ivoire"	"1998"	"24"	"Female"	"0.6761847861"	"0.2151010469"	"0.0621374779"	"2000"	"0.7848989531"
"Cameroon"	"2004"	"15"	"Female"	"0.0854581085"	"0.9688911331"	"0.6985352436"	"2000"	"0.0311088669"
